Date,PMID,Title,Abstract,PoI Re,DoI Rel,Is Systematic,Study Type,Study Outcome,PoI List,DoI List,Score
2023-11-06,37677000,Efficacy and Safety of the Melanocortin Pan-Agonist PL9643 in a Phase 2 Study of Patients with Dry Eye Disease.,"Purpose: The melanocortin receptor pan-agonist PL9643, a potential therapy for ocular diseases, was investigated in a phase 2, 12-week study in patients with dry eye disease (DED). Methods: This was a placebo-controlled study evaluating efficacy and safety of thrice-daily PL9643. Placebo (vehicle) was similar to tears. Primary endpoints were intra-patient changes in inferior corneal fluorescein staining and ocular discomfort after 12 weeks. Secondary endpoints were changes in additional DED signs or symptoms. Multiple secondary endpoints were not adjusted for multiplicity. Patients with moderate or severe DED were analyzed in addition to the overall intent-to-treat (ITT) population. Results: In the ITT population (n = 160) the PL9643 group did not demonstrate significant treatment difference versus placebo at week 12/day 85 for the primary endpoints (P > 0.05). In patients with moderate or severe DED (n = 53), PL9643 treatment demonstrated either nominally significant (P < 0.05) or trending (P < 0.1) improvement over placebo in mean change from baseline at week 12/day 85 in several sign endpoints, including fluorescein staining in inferior, superior, corneal sum, and total sum regions; Lissamine Green staining in temporal, nasal, conjunctival sum, and total sum regions; and tear film breakup time. Conjunctival redness also showed (nonsignificant) improvement at week 12/day 85. There were no drug-related adverse events (AEs) and no drug-related discontinuations. Conclusions: PL9643 showed no significant efficacy for the ITT population; however, efficacy results across several signs and symptoms in the subpopulation of moderate to severe DED patients, the low number of ocular AEs, and no tolerability issues suggest that PL9643 shows promise as a therapeutic for DED. Clinical Trial Registration number: NCT04268069.",yes,yes,no,human RCT,"effectiveness, safety",melanocortin,dry eye,10
2023-11-10,37749024,N-Terminal Pro B-Type Natriuretic Peptide as a Screening Tool for Inpatient Echocardiogram Requirement Among Patients With Suspected Heart Failure: Using NT-proBNP to Reduce Hospital Length of Stay.,"N-terminal pro-B-type natriuretic peptide (NT-proBNP) is a cardiac biomarker with diagnostic and prognostic utility in patients with heart failure (HF). Whether NT-proBNP can be used to triage inpatient transthoracic echocardiogram (TTE) requirements, and whether this impacts hospital length of stay (LOS), is not clear.Clinical and biochemical data were prospectively recorded on all inpatients at Wollongong Hospital, NSW, Australia, who had a TTE ordered for suspected HF over a 6-month period. NT-proBNP was used to triage TTE priority, where high-priority inpatient TTE, lower-priority inpatient TTE and outpatient (OP) TTE were performed for serum NT-proBNPs of ≥900, 300-899 and <300, respectively. Outcomes were compared with a baseline cohort of HF inpatients in whom TTE requirement was not guided by NT-proBNP.A total of 236 patients were evaluated-31, 31, and 174 in the low, intermediate and high NT-proBNP cohorts, respectively, and 199 patients were in the baseline cohort. Average hospital LOS was significantly reduced in the study cohort compared to baseline (9.97 vs 13.87 days, p<0.001). Of the 31 patients with a very low NT-proBNP who were discharged for OP TTE, seven were readmitted within 30 days, though none were HF-related. There were no deaths at 30 days in the low or intermediate NT-proBNP groups.Using NT-proBNP to triage requirements for inpatient TTE reduces hospital LOS. A very low NT-proBNP may help identify which patients with suspected HF can be safely discharged for OP TTE.",yes,yes,no,human non-RCT,"effectiveness, biomarker",natriuretic,heart failure,9
2023-11-03,37915546,"Can We Slow Down Biological Age Progression? Study Protocol for the proBNPage Reduction (PBAR) Randomized, Double-Blind, Placebo-Controlled Trial (Effects of 4 ""Anti-Aging"" Food Supplements in Healthy Older Adults).","The availability of a simple and reliable marker of biological age might allow an acceleration of the research in the field of longevity extension. Previous studies suggest that this marker might be the N-terminal of B-type natriuretic peptide precursor (NT-proBNP), from which proBNPage, a biological age surrogate, can be calculated. Objectives of the study: 1) To fine-tune the method of proBNPage progression assessment and 2) To establish whether 4 ""anti-aging"" treatments, which provided promising results in previous studies, can modify proBNPage progression.This is a double-blind randomized placebo-controlled clinical trial on 120 adults aged 65-80 years, free of cardiovascular diseases. Participants will be randomized into 3 groups: A) Coenzyme Q10 100 mg bid + Selenium 100 mcg; B) Resveratrol 350 mg bid + TA-65 (Astragalus Membranaceus extract) 100U; C) Placebo-1 bid + Placebo-2. They will be followed for 2 years and checked 8 times, to assess both proBNPage progression and treatment safety. Secondary variables (handgrip strength, aerobic capacity at the step test and quality of life) will also be assessed. Primary outcome will be the demonstration of significant changes of proBNPage, compared to baseline, in the 3 groups at 6, 12, 18 and 24 months. Secondary outcome will be the demonstration of similar changes of secondary variables. Statistical analyses will be mainly performed by repeated measures ANOVA (both according to intention to treat and per protocol) and paired t tests. The study was approved by the Ethics Committee Area Vasta Emilia Centro, Emilia-Romagna Region, ID: 64/2022/Sper/AOUBo. Trial registration: ClinicalTrials.gov, NCT05500742.The use of proBNPage as a surrogate of biological age may prove an easy method to select anti-aging treatments worthy of further, more complex assessments.",yes,no,no,human RCT,"effectiveness, safety, biomarker",natriuretic,,7
2023-11-06,37657522,Glutamate Infusion Reduces Myocardial Dysfunction after Coronary Artery Bypass Grafting According to NT-proBNP: Summary of 2 Randomized Controlled Trials (GLUTAmate for Metabolic Intervention in Coronary Surgery [GLUTAMICS I-II]).,"Glutamate is reported to enhance the recovery of oxidative metabolism and contractile function of the heart after ischemia. The effect appears to be blunted in diabetic hearts. Elevated plasma N-terminal pro-brain natriuretic peptide (NT-proBNP) reflects myocardial dysfunction. In the GLUTAmate for Metabolic Intervention in Coronary Surgery (GLUTAMICS) II trial, the proportion of patients with diabetes had nearly doubled to 47% compared with the cohort used for sample size estimation, and a significant effect on the postoperative rise in NT-proBNP was only observed in patients without diabetes.We aimed to summarize the pooled NT-proBNP results from both GLUTAMICS trials and address the impact of diabetes.Data from 2 prospective, randomized, double-blind multicenter trials with similar inclusion criteria and endpoints were pooled. Patients underwent a coronary artery bypass grafting (CABG) ± valve procedure and had a left-ventricular ejection fraction of ≤0.30 or a European System for Cardiac Operative Risk Evaluation II (EuroSCORE II) of ≥3.0 with at least 1 cardiac risk factor. Intravenous infusion of 0.125 M L-glutamic acid or saline at 1.65 mL/kg/h was started 10-20 min before reperfusion and continued for 150 min. The primary endpoint was the difference between preoperative and day 3 postoperative NT-proBNP levels.A total of 451 patients, 224 receiving glutamate and 227 controls, fulfilled the inclusion criteria. Glutamate was associated with a reduced primary endpoint (5344 ± 5104 ng/L and 6662 ± 5606 ng/L in glutamate and control groups, respectively; P = 0.01). Postoperative mortality at ≤30 d was 0.9% and 3.5% (P = 0.11), whereas stroke at ≤24 h was 0.4% and 2.6% in glutamate and control groups, respectively (P = 0.12). No adverse events related to glutamate were observed. A significant interaction regarding the primary endpoint was only detected between glutamate and insulin-treated diabetes groups (P = 0.04). Among patients without insulin-treated diabetes, the primary endpoint was 5047 ± 4705 ng/L and 7001 ± 5830 ng/L in the glutamate and control groups, respectively (P = 0.001).Infusion of glutamate reduced the postoperative rise in NT-proBNP after CABG in medium- to high-risk patients. A significantly blunted effect was observed only in insulin-treated patients with diabetes.This trial was registered at www.gov as NCT02592824.",yes,no,no,human RCT,"effectiveness, safety",natriuretic,,7
2023-11-14,37953020,Baroreflex Activation Therapy in Patients with Heart Failure with a Reduced Ejection Fraction.,"A randomized, controlled trial of baroreflex activation therapy (BAT) in patients with heart failure and reduced ejection fraction demonstrated that BAT was safe and significantly improved patient-centered symptomatic outcomes, increasing exercise capacity, improving quality of life, decreasing n-terminal pro B-type natriuretic peptide (NT-proBNP), and improving functional class. BAT was approved by the FDA for improvement of symptoms of heart failure for patients who remain symptomatic despite treatment with guideline-directed management, are New York Heart Association Class III or Class II (with a recent history of Class III), have a left ventricular ejection fraction ≤ 35%, an NT-proBNP < 1600 pg/mL and excluding patients indicated for cardiac resynchronization therapy.",yes,no,no,human RCT,"effectiveness, safety, biomarker",natriuretic,,7
2023-11-27,37993201,Semaglutide in Patients With Obesity and Heart Failure Across Mildly Reduced or Preserved Ejection Fraction.,"Many therapies for heart failure (HF) have shown differential impact across the spectrum of left ventricular ejection fraction (LVEF).In this prespecified analysis, the authors assessed the effects of semaglutide across the baseline LVEF strata in patients with the obesity phenotype of HF with preserved ejection fraction (HFpEF) in the STEP-HFpEF (Semaglutide Treatment Effect in People with obesity and HFpEF) trial.STEP-HFpEF randomized 529 patients (263 semaglutide; 266 placebo). For this prespecified analysis, patients were categorized into 3 groups based on LVEF: 45% to 49% (n = 85), 50% to 59% (n = 215), and ≥60% (n = 229).At 52 weeks, semaglutide improved the dual primary endpoints of Kansas City Cardiomyopathy Questionnaire Clinical Summary Score (estimated treatment difference: EF [ejection fraction] 45%-49%: 5.0 points [95% CI: -2.7 to 12.8 points], EF 50%-59%: 9.8 points [95% CI: 5.0 to 14.6 points], and EF ≥60%: 7.4 points [95% CI: 2.8 to 12.0 points]; P interaction = 0.56) and body weight (EF: 45%-49%: -7.6 [95% CI: -10.7 to -4.4], EF 50%-59%: -10.6 [95% CI: -12.6 to -8.6] and EF ≥60%: -11.9 [95% CI: -13.8 to -9.9]; P interaction = 0.08), to a similar extent across LVEF categories. Likewise, LVEF did not influence the benefit of semaglutide on confirmatory secondary endpoints: 6-minute walk distance (P interaction = 0.19), hierarchal composite endpoint (P interaction = 0.43), and high-sensitivity C-reactive protein (P interaction = 0.26); or exploratory endpoint of N-terminal pro-brain natriuretic peptide (P interaction = 0.96). Semaglutide was well-tolerated across LVEF categories.In patients with HFpEF and obesity, semaglutide 2.4 mg improved symptoms, physical limitations, and exercise function, and reduced inflammation and body weight to a similar extent across LVEF categories. These data support treatment with semaglutide in patients with the obesity phenotype of HFpEF regardless of LVEF. (Research Study to Investigate How Well Semaglutide Works in People Living With Heart Failure and Obesity [STEP-HFpEF]; NCT04788511).",yes,no,no,human RCT,"effectiveness, safety, biomarker",natriuretic,,7
2023-11-10,37427711,Efficacy and safety of macitentan for pulmonary hypertension: A meta-analysis.,"Our purpose of this study is to evaluate the effect and safety of macitentan in the treatment of pulmonary hypertension (PH).We retrieved the safety and efficacy of macitentan treatment for PH using PubMed, the Cochrane Library, EMBASE databases and clinicaltrials.gov. The Cochrane Risk of Bias Tool was used for literature screening and quality assessment. Data analysis was conducted using RevMan 5.4.1 and Stata/SE 15.1 software. Results are presented as standardization mean differences (SMDs) and odds ratio (OR).Meta-analysis of seven randomized controlled trial (RCT) studies and four non-RCT studies with 2769 patients was included, involving 723 in the macitentan group and 599 in the placebo group. The results of the study showed that macitentan had effectively decreased pulmonary vascular resistance (PVR) (SMD = -0.53, 95% CI: -0.77--0.29, p < 0.05), cardiac index (CI) (SMD = 0.60, 95% CI: 0.37-0.83, p < 0.05) and N-terminal pro-brain natriuretic peptide (NT-proBNP) (SMD = -0.22, 95% CI: -0.40--0.03, p < 0.05). Furthermore, macitentan also significantly reduced PVR (SMD = -0.58, 95% CI: -0.80--0.35, p < 0.05), 6-min walk distance (6WMD) (SMD = 0.33, 95% CI: 0.15-0.50, p < 0.05), CI (SMD = 0.48, 95% CI: 0.28-0.69, p < 0.05), mean pulmonary arterial pressure (mPAP) (SMD = -0.43, 95% CI: -0.64--0.23, p < 0.05) and NT-proBNP (SMD = -0.55, 95% CI: -1.07--0.03, p < 0.05) between baseline and follow-up. The adverse reactions to macitentan were mild, with headache, anaemia and bronchitis. Other efficacy and safety outcomes did not reach statistical differences.Macitentan therapy for PH is effective and safe. The effectiveness on PVR, mPAP, mean right atrial pressure (mRAP), mortality and other indicators still needs to be further confirmed.",yes,no,yes,other,"effectiveness, safety",natriuretic,,6
2023-11-13,37380331,Transcatheter closure of atrial septal defect in the elderly: a systematic review and meta-analysis.,"Despite the establishment of transcatheter closure as the treatment of choice in adults with secundum atrial septal defects (ASDs), the effectiveness of this approach in the elderly is disputed. This systematic review and meta-analysis aims to explore the impact of transcatheter ASD closure in patients ≥60 years old.We systematically searched four major electronic databases (PubMed, CENTRAL (Cochrane Central Register of Controlled Trials), Scopus and Web of Science), ClinicalTrials.gov, article references and grey literature. Primary outcomes were the right ventricular end-diastolic diameter (RVEDD) and the New York Heart Association functional class change, whereas secondary outcomes included systolic pulmonary arterial pressure (sPAP), left ventricular end-diastolic diameter (LVEDD), brain natriuretic peptide (BNP), tricuspid valve regurgitation (TR) change, as well as the rate of atrial arrhythmias and all-cause mortality.In total, 18 single-arm cohorts comprising 1184 patients were included. RVEDD was reduced after ASD closure (standardised mean difference (SMD) -0.9, 95% CI -1.2 to -0.7). Elderly patients had 9.5 times higher odds of being asymptomatic after ASD closure (95% CI 5.06 to 17.79). Furthermore, ASD closure improved sPAP (mean difference (MD) -10.8, 95% CI -14.6 to -7), LVEDD (SMD 0.8, 95% CI 0.7 to 1.0), TR severity (OR 0.39, 95% CI 0.25 to 0.60) and BNP (MD -68.3, 95% CI -114.4 to -22.1). There was a neutral effect of ASD closure on atrial arrhythmias.Transcatheter ASD closure is beneficial for the elderly population since it improves functional capacity, biventricular dimensions, pulmonary pressures, TR severity and BNP. However, the incidence of atrial arrhythmias did not change significantly after the intervention.CRD42022378574.",yes,no,yes,human non-RCT,"effectiveness, biomarker",natriuretic,,6
2023-11-15,36721907,Pulmonary vasodilator therapies in pulmonary arterial hypertension associated with CHD: a systematic review and network meta-analysis.,"The optimal treatment strategy using pulmonary vasodilators in pulmonary arterial hypertension associated with CHD (PAH-CHD) remains controversial. We aimed to compare the efficacy and safety of pulmonary vasodilators in PAH-CHD. PubMed and EMBASE databases were searched through May 2022 and a network meta-analysis was conducted. The primary outcomes were mean difference of changes in 6-minute walk distance, NYHA functional class, and N-terminal pro-brain natriuretic peptide. The secondary outcomes included pulmonary vascular resistance, mean pulmonary arterial pressure, and resting oxygen saturation. We identified 14 studies, yielding 807 patients with PAH-CHD. Bosentan and sildenafil were associated with a significant increase in 6-minute walk distance from baseline compared with placebo (MD 48.92 m, 95% CI 0.32 to 97.55 and MD 59.70 m, 95% CI 0.88 to 118.53, respectively). Bosentan, sildenafil, and combination of bosentan and sildenafil were associated with significant improvement in NYHA functional class compared with placebo (MD -0.33, 95% CI -0.51 to -0.14, MD -0.58, 95% CI -0.75 to -0.22 and MD -0.62, 95% CI -0.92 to -0.31, respectively). Bosentan and sildenafil were also associated with significant improvements in secondary outcomes. These findings were largely confirmed in the subgroup analysis. Various adverse events were reported; however, serious adverse event rates were relatively low (4.8-8.7%), including right heart failure, acute kidney injury, respiratory failure, hypotension, and discontinuation of pulmonary vasodilators. In conclusion, bosentan and sildenafil were the most effective in improving prognostic risk factor such as 6-minute walk distance and NYHA class. Overall, pulmonary vasodilators were well tolerated in PAH-CHD.",yes,no,yes,human non-RCT,"effectiveness, safety",natriuretic,,6
2023-11-01,37202215,Sacubitril/valsartan ameliorates renal tubulointerstitial injury through increasing renal plasma flow in a mouse model of type 2 diabetes with aldosterone excess.,"Aldosterone has been assumed to be one of aggravating factors in diabetic kidney disease (DKD). Natriuretic peptides/guanylyl cyclase-A/cGMP signalling has been shown to ameliorate aldosterone-induced renal injury in mice. Sacubitril/valsartan (SAC/VAL) is used clinically for chronic heart failure and hypertension, in part by augmenting natriuretic peptide bioavailability. The effects of SAC/VAL on renal pathophysiology including in DKD, however, have remained unclarified.Eight-week-old male db/db mice fed on a high-salt diet (HSD) were treated with vehicle or aldosterone (0.2 μg/kg/min), and divided into four groups: HSD control, ALDO (aldosterone), ALDO + VAL (valsartan), and ALDO + SAC/VAL group. After 4 weeks, they were analysed for plasma atrial natriuretic peptide (ANP) levels, renal histology, and haemodynamic parameters including glomerular filtration rate (GFR) by FITC-inulin and renal plasma flow (RPF) by para-amino hippuric acid.The ALDO + SAC/VAL group showed significantly increased plasma ANP concentration and creatinine clearance, and decreased tubulointerstitial fibrosis and neutrophil gelatinase-associated lipocalin expression compared to ALDO and ALDO + VAL groups. SAC/VAL treatment increased GFR and RPF, and suppressed expression of Tgfb1, Il1b, Ccl2, and Lcn2 genes compared to the ALDO group. The percentage of tubulointerstitial fibrotic areas negatively correlated with the RPF and GFR.In a mouse model of type 2 diabetes with aldosterone excess, SAC/VAL increased RPF and GFR, and ameliorated tubulointerstitial fibrosis. Furthermore, RPF negatively correlated well with tubulointerstitial injury, suggesting that the beneficial effects of SAC/VAL could be through increased renal plasma flow with enhanced natriuretic peptide bioavailability.",yes,no,no,animal,"effectiveness, biomarker",natriuretic,,5
